q0,1,1,R,q0
q0,0,0,R,q0
q0,$,$,R,q1
q1,1,1,R,q1
q1,0,0,R,q1
q1,∅,∅,L,q2
q2,0,∅,L,q3
q2,1,∅,L,q5
q2,$,$,L,q9
q3,0,0,L,q3
q3,1,1,L,q3
q3,$,$,L,q4
q4,Z,Z,L,q4
q4,Y,Y,L,q4
q4,X,X,L,q4
q4,0,X,R,q7
q4,1,Y,R,q7
q5,0,0,L,q5
q5,1,1,L,q5
q5,$,$,L,q6
q6,Z,Z,L,q6
q6,Y,Y,L,q6
q6,X,X,L,q6
q6,0,Y,R,q7
q6,1,Z,R,q7
q7,Z,Z,R,q7
q7,Y,Y,R,q7
q7,X,X,R,q7
q7,$,$,R,q8
q8,1,1,R,q8
q8,0,0,R,q8
q8,∅,∅,L,q2
q9,X,0,L,q9
q9,Y,1,L,q9
q9,Z,0,L,q10
q9,∅,∅,R,q11
q10,Z,1,L,q10
q10,Y,0,L,q10
q10,X,1,L,q9
q10,∅,1,R,q11
q11,0,0,R,q11
q11,1,1,R,q11
q11,$,$,R,qf
